doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,filler_type,filler_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_pct
10.1021/acsapm.2c01849,sHPU-1,"PDF pp. 3 and 5-6; Table 1, Table 2, and Figure 5","User-authorized copy; American Chemical Society copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""specimen cut in two and fracture faces respliced"",""thermal_activation"":""80 C for 30 min"",""tensile_crosshead_speed_mm_min"":200,""UPy_to_furfuryl_alcohol_mol_ratio"":""4:1"",""BMI_to_furfuryl_alcohol_mol_ratio"":0.5}",IPDI-PPG polyurethane,"furan-maleimide Diels-Alder crosslinks plus quadruple hydrogen-bonding UPy",urethane,linear,PPG,2000,,,5.96,4.87,81.71
10.1021/acsapm.2c01849,sHPU-2,"PDF pp. 3 and 5-6; Table 1, Table 2, and Figure 5","User-authorized copy; American Chemical Society copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""specimen cut in two and fracture faces respliced"",""thermal_activation"":""80 C for 30 min"",""tensile_crosshead_speed_mm_min"":200,""UPy_to_furfuryl_alcohol_mol_ratio"":""3:2"",""BMI_to_furfuryl_alcohol_mol_ratio"":0.5}",IPDI-PPG polyurethane,"furan-maleimide Diels-Alder crosslinks plus quadruple hydrogen-bonding UPy",urethane,linear,PPG,2000,,,5.84,5.79,99.14
10.1021/acsapm.2c01849,sHPU-3,"PDF pp. 3 and 5-6; Table 1, Table 2, and Figure 5","User-authorized copy; American Chemical Society copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""specimen cut in two and fracture faces respliced"",""thermal_activation"":""80 C for 30 min"",""tensile_crosshead_speed_mm_min"":200,""UPy_to_furfuryl_alcohol_mol_ratio"":""2.5:2.5"",""BMI_to_furfuryl_alcohol_mol_ratio"":0.5}",IPDI-PPG polyurethane,"furan-maleimide Diels-Alder crosslinks plus quadruple hydrogen-bonding UPy",urethane,linear,PPG,2000,,,6.3,5.88,93.33
10.1021/acsapm.2c01849,sHPU-4,"PDF pp. 3 and 5-6; Table 1, Table 2, and Figure 5","User-authorized copy; American Chemical Society copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""specimen cut in two and fracture faces respliced"",""thermal_activation"":""80 C for 30 min"",""tensile_crosshead_speed_mm_min"":200,""UPy_to_furfuryl_alcohol_mol_ratio"":""2:3"",""BMI_to_furfuryl_alcohol_mol_ratio"":0.5}",IPDI-PPG polyurethane,"furan-maleimide Diels-Alder crosslinks plus quadruple hydrogen-bonding UPy",urethane,linear,PPG,2000,,,6.99,5.71,81.69
10.1016/j.polymer.2026.129869,PU-DA2.0-two-stage,"PDF pp. 4, 6-7; tensile method and Figure 6 text","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""cut tensile specimen; fracture surfaces rejoined"",""thermal_activation"":""120 C for 10 min, then 60 C for 120 min"",""tensile_crosshead_speed_mm_min"":50,""DA_to_imine_composition"":""2.0:0 (DA-only control)""}",PCL-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks",urethane,crosslinked,PCL,2000,,,28.6,26.9,94.0
10.1016/j.polymer.2026.129869,PUD1.5I0.5-two-stage,"PDF pp. 4, 6-7; tensile method and Figure 6 text","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""cut tensile specimen; fracture surfaces rejoined"",""thermal_activation"":""120 C for 10 min, then 60 C for 120 min"",""tensile_crosshead_speed_mm_min"":50,""DA_to_imine_composition"":""1.5:0.5""}",PCL-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus imine exchange",urethane,crosslinked,PCL,2000,,,26.9,27.2,100.0
10.1002/adv.21857,HTK-PU-3h,"PDF pp. 1, 3, and 6; abstract, method, and Table 2","User-authorized copy; Wiley copyright","{""metric_basis"":""breaking-strength recovery"",""damage"":""dumbbell specimen cut across center of active region and rejoined"",""thermal_activation"":""80 C for 3 h"",""thermal_activation_source"":""abstract/conclusion; 90 C observation procedure is microscopy-only"",""tensile_crosshead_speed_mm_min"":2,""specimen_state"":""HTK-PU/DMF gel; DMF content 17.56%""}",HDI-trimer polyurethane,"furan-xylene-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,,,,,9.34,1.64,17.56
10.1002/adv.21857,HTK-PU-6h,"PDF pp. 1, 3, and 6; abstract, method, and Table 2","User-authorized copy; Wiley copyright","{""metric_basis"":""breaking-strength recovery"",""damage"":""dumbbell specimen cut across center of active region and rejoined"",""thermal_activation"":""80 C for 6 h"",""thermal_activation_source"":""abstract/conclusion; 90 C observation procedure is microscopy-only"",""tensile_crosshead_speed_mm_min"":2,""specimen_state"":""HTK-PU/DMF gel; DMF content 17.56%""}",HDI-trimer polyurethane,"furan-xylene-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,,,,,9.34,5.02,53.75
10.1002/adv.21857,HTK-PU-12h,"PDF pp. 1, 3, and 6; abstract, method, and Table 2","User-authorized copy; Wiley copyright","{""metric_basis"":""breaking-strength recovery"",""damage"":""dumbbell specimen cut across center of active region and rejoined"",""thermal_activation"":""80 C for 12 h"",""thermal_activation_source"":""abstract/conclusion; 90 C observation procedure is microscopy-only"",""tensile_crosshead_speed_mm_min"":2,""specimen_state"":""HTK-PU/DMF gel; DMF content 17.56%""}",HDI-trimer polyurethane,"furan-xylene-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,,,,,9.34,6.31,67.56
10.1021/acsomega.9b03082,PU-80,"PDF pp. 2-3 and 6-7; preparation, mechanical method, and Table 3","ACS AuthorChoice License (non-commercial reuse)","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell specimen cut at midpoint and cut surfaces immediately contacted without pressure"",""thermal_activation"":""110 C for 10 h"",""tensile_test_standard"":""GB/T 13022-1991 type II"",""tensile_crosshead_speed_mm_min"":100,""test_temperature"":""25 C"",""cure_schedule"":""50 C 2 h plus 80 C 8 h""}",tung-oil-based phenolic polyurethane,"tung-oil/4-maleimidophenol Diels-Alder adduct plus reversible phenolic urethane",urethane,crosslinked,polytetrahydrofuran,1350,,,1.46,0.68,46.57
10.1021/acsomega.9b03082,PU-120,"PDF pp. 2-3 and 6-7; preparation, mechanical method, and Table 3","ACS AuthorChoice License (non-commercial reuse)","{""metric_basis"":""tensile-strength recovery"",""damage"":""dumbbell specimen cut at midpoint and cut surfaces immediately contacted without pressure"",""thermal_activation"":""110 C for 10 h"",""tensile_test_standard"":""GB/T 13022-1991 type II"",""tensile_crosshead_speed_mm_min"":100,""test_temperature"":""25 C"",""cure_schedule"":""50 C 2 h plus 80 C 4 h plus 120 C 8 h""}",tung-oil-based phenolic polyurethane,"tung-oil/4-maleimidophenol Diels-Alder adduct plus reversible phenolic urethane",urethane,crosslinked,polytetrahydrofuran,1350,,,1.62,1.04,64.2
