doi,sample_label,source_location,data_license,conditions,resin,functional_group_type,chain_architecture,soft_segment,soft_segment_reported_mw_g_mol,soft_segment_weight_average_mw_g_mol,toughener_type,toughener_pct,pdms_wt_pct,pi_backbone,original_tensile_strength_mpa,original_strain_at_break_pct,water_absorption_pct,static_contact_angle_deg,tga_t5_c,tga_t10_c,char_yield_800c_pct,inherent_viscosity_dl_g,pdms_nanodomain_long_axis_nm,pdms_nanodomain_periodicity_nm,cte_inplane_ppm_c,cte_thickness_ppm_c,volumetric_cte_ppm_c
10.1177/09540083241276779,FPI-control,"PDF p. 9 (printed p. 11), mechanical-properties text and Table 3; PDF p. 10 (printed p. 12), contact-angle text","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized polyimide film"",""tensile_test"":""E44.104 universal testing machine; dumbbell 50 mm x 5 mm; room temperature; speed not reported"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C"",""contact_angle"":""static water, room temperature, 15 uL droplet, four positions""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,0,0,6FDA-ODA,135.3,15.8,,60,522.47,542.35,57.62,,,,,,
10.1177/09540083241276779,SiFPI-2,"PDF p. 9 (printed p. 11), Table 3","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized 6FDA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,2,2,6FDA-ODA,,,,,522.91,547.93,55.35,,,,,,
10.1177/09540083241276779,SiFPI-3,"PDF p. 9 (printed p. 11), Table 3; water-absorption results","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized 6FDA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C"",""water_absorption"":""four 100-150 mg films; dried 180 C for 1 h; immersed in deionized water 24 h""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,3,3,6FDA-ODA,,,1.33,,507.16,542.33,49.64,,,,,,
10.1177/09540083241276779,SiFPI-4,"PDF p. 9 (printed p. 11), Table 3","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized 6FDA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,4,4,6FDA-ODA,,,,,496,533.69,51.48,,,,,,
10.1177/09540083241276779,SiFPI-5,"PDF p. 9 (printed p. 11), mechanical-properties text; PDF p. 10 (printed p. 12), contact-angle text and water-absorption results","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized 6FDA-ODA polyimide film with PDMS"",""tensile_test"":""E44.104 universal testing machine; dumbbell 50 mm x 5 mm; room temperature; speed not reported"",""water_absorption"":""four 100-150 mg films; dried 180 C for 1 h; immersed in deionized water 24 h"",""contact_angle"":""static water, room temperature, 15 uL droplet, four positions""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,5,5,6FDA-ODA,98.2,35.2,1.22,93,,,,,,,,,
10.1177/09540083241276779,BPI-control,"PDF p. 10 (printed p. 12), Table 4 and contact-angle text; water-absorption results","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized BPADA-ODA polyimide film"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C"",""water_absorption"":""four 100-150 mg films; dried 180 C for 1 h; immersed in deionized water 24 h"",""contact_angle"":""static water, room temperature, 15 uL droplet, four positions""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,0,0,BPADA-ODA,,,1.39,62.8,527.65,546.02,56.14,,,,,,
10.1177/09540083241276779,SiBPI-1,"PDF p. 9 (printed p. 11), mechanical-properties text","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized BPADA-ODA polyimide film with PDMS"",""tensile_test"":""E44.104 universal testing machine; dumbbell 50 mm x 5 mm; room temperature; speed not reported""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,1,1,BPADA-ODA,120.1,21.3,,,,,,,,,,,
10.1177/09540083241276779,SiBPI-2,"PDF p. 10 (printed p. 12), Table 4","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized BPADA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,2,2,BPADA-ODA,,,,,509.76,522.69,51.51,,,,,,
10.1177/09540083241276779,SiBPI-3,"PDF p. 10 (printed p. 12), Table 4; water-absorption results","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized BPADA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C"",""water_absorption"":""four 100-150 mg films; dried 180 C for 1 h; immersed in deionized water 24 h""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,3,3,BPADA-ODA,,,1.12,,500.36,517.74,51.33,,,,,,
10.1177/09540083241276779,SiBPI-4,"PDF p. 10 (printed p. 12), Table 4","User-provided copy; Sage copyright; user-authorized literature ingestion","{""material_state"":""thermally imidized BPADA-ODA polyimide film with PDMS"",""tga"":""TG209F1; nitrogen; 30-800 C; about 10 C/min; char yield at 800 C""}",polyimide,imide,copolyimide,PDMS,1000,,PDMS,4,4,BPADA-ODA,,,,,490,510.09,50.05,,,,,,
